occupancy_label,inventory_total,reserve_pallets_per_layout,weight_case_id,canonical_lambda_case_id,omega_depth,omega_level,selection_label,mean_normalized_horizontal_distance,mean_normalized_depth,mean_normalized_level,reserve_access_cost,rank_lower_is_better,is_best_layout,canonical_low_reserve_access_cost,low_absolute_difference,low_reproduction_tolerance,low_reproduction_pass
high,3584,3484,B1,B1_baseline,0.1,0.1,L4,0.529067946992825,0.236509758897819,0.440503526353907,0.596769275517997,3,false,,,,
high,3584,3484,B2,B2_higher_depth_penalty,0.25,0.1,L1,0.54770900741705,0.214336969001148,0.440503526366832,0.64534360230402,4,false,,,,
high,3584,3484,B2,B2_higher_depth_penalty,0.25,0.1,L2,0.354618515820895,0.253013777267509,0.451205510936288,0.462992511231401,1,true,,,,
high,3584,3484,B2,B2_higher_depth_penalty,0.25,0.1,L3,0.472988205854478,0.238231917336395,0.417787436508906,0.574324928839468,2,false,,,,
high,3584,3484,B2,B2_higher_depth_penalty,0.25,0.1,L4,0.529067946992825,0.236509758897819,0.440503526353907,0.63224573935267,3,false,,,,
high,3584,3484,B3,B3_higher_level_penalty,0.1,0.25,L1,0.54770900741705,0.214336969001148,0.440503526366832,0.679268585908873,4,false,,,,
high,3584,3484,B3,B3_higher_level_penalty,0.1,0.25,L2,0.354618515820895,0.253013777267509,0.451205510936288,0.492721271281718,1,true,,,,
high,3584,3484,B3,B3_higher_level_penalty,0.1,0.25,L3,0.472988205854478,0.238231917336395,0.417787436508906,0.601258256715345,2,false,,,,
high,3584,3484,B3,B3_higher_level_penalty,0.1,0.25,L4,0.529067946992825,0.236509758897819,0.440503526353907,0.662844804471083,3,false,,,,
high,3584,3484,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L1,0.54770900741705,0.214336969001148,0.440503526366832,0.711419131259045,4,false,,,,
high,3584,3484,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L2,0.354618515820895,0.253013777267509,0.451205510936288,0.530673337871844,1,true,,,,
high,3584,3484,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L3,0.472988205854478,0.238231917336395,0.417787436508906,0.636993044315804,2,false,,,,
high,3584,3484,B4,B4_higher_depth_and_level_penalty,0.25,0.25,L4,0.529067946992825,0.236509758897819,0.440503526353907,0.698321268305756,3,false,,,,
