comparison_group,method_or_variant,instance,seed,configured_max_depth,retained_archive_count,mean_retained_depth,median_retained_depth,min_retained_depth,max_retained_depth,retained_layouts_reaching_cap,run_reaches_configured_cap,scope_note
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,126,30,20,6.2,6.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,127,30,28,6.928571428571429,8.0,4,9,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,128,30,24,6.416666666666667,8.0,4,9,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,129,30,21,6.285714285714286,8.0,4,10,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Narrow_AW_4,130,30,26,6.615384615384615,8.0,4,9,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,101,30,17,6.882352941176471,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,102,30,20,7.05,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,103,30,21,7.095238095238095,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,104,30,19,6.894736842105263,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,105,30,17,6.882352941176471,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,106,30,23,6.695652173913044,7.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,107,30,26,7.076923076923077,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,108,30,18,6.944444444444445,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,109,30,21,7.0476190476190474,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,110,30,18,6.888888888888889,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,111,30,21,7.0476190476190474,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,112,30,21,7.0476190476190474,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,113,30,22,7.090909090909091,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,114,30,17,6.882352941176471,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,115,30,20,7.05,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,116,30,20,7.05,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,117,30,19,7.0,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,118,30,25,7.08,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,119,30,22,7.090909090909091,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,120,30,23,6.869565217391305,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,121,30,23,7.130434782608695,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,122,30,20,7.05,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,123,30,26,7.076923076923077,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,124,30,22,7.090909090909091,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,125,30,20,7.0,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,126,30,20,7.05,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,127,30,19,7.0,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,128,30,21,7.0,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,129,30,18,6.944444444444445,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V0_full_proposed,Gyorgy-KOVACS_WH_Wide_AW_5,130,30,22,7.090909090909091,8.0,4,8,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,101,15,21,4.809523809523809,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,102,15,23,4.956521739130435,5.0,4,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,103,15,26,4.8076923076923075,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,104,15,17,4.588235294117647,4.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,105,15,27,4.888888888888889,5.0,4,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,106,15,32,4.40625,4.0,3,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,107,15,21,4.857142857142857,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,108,15,40,4.45,4.0,3,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,109,15,20,4.55,4.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,110,15,22,4.409090909090909,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,111,15,30,4.5,4.0,3,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,112,15,20,4.6,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,113,15,23,4.173913043478261,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,114,15,20,4.9,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,115,15,20,4.65,4.5,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,116,15,31,4.32258064516129,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,117,15,20,5.0,5.0,4,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,118,15,20,4.6,4.0,4,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,119,15,29,4.413793103448276,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,120,15,25,5.04,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,121,15,23,4.913043478260869,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,122,15,20,4.35,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,123,15,21,4.380952380952381,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,124,15,23,4.565217391304348,4.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,125,15,20,4.5,4.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,126,15,20,4.85,5.0,4,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,127,15,32,4.25,4.0,3,7,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,128,15,18,4.388888888888889,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,129,15,23,4.391304347826087,4.0,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,AT_S_comercial_layout_AW_3,130,15,22,4.7272727272727275,4.5,3,6,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,demo_layout_door_left_AW_2,101,15,19,10.736842105263158,11.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
phase12c,V6_depth15_beam_default,demo_layout_door_left_AW_2,102,15,12,11.0,12.0,8,12,0,False,final feasible rank 0-3 archive only; not Beam Search stop-reason evidence
