comparison_group,method_or_variant,source_phase,source_manifest_label,source_relative_root,instance,seed,archive_scope,archive_record_count,unique_signature_count,configured_max_depth,runtime_seconds,archive_index_path,run_metadata_path,manifest_output_dir
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,107,final feasible rank 0-3,14,14,28,1187.210853,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s107/runs/demo_layout_door_left_AW_2/seed_107/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s107/runs/demo_layout_door_left_AW_2/seed_107/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s107
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,108,final feasible rank 0-3,27,27,28,1221.025477,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s108/runs/demo_layout_door_left_AW_2/seed_108/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s108/runs/demo_layout_door_left_AW_2/seed_108/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s108
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,109,final feasible rank 0-3,14,14,28,1166.607857,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s109/runs/demo_layout_door_left_AW_2/seed_109/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s109/runs/demo_layout_door_left_AW_2/seed_109/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s109
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,110,final feasible rank 0-3,25,25,28,1203.364252,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s110/runs/demo_layout_door_left_AW_2/seed_110/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s110/runs/demo_layout_door_left_AW_2/seed_110/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s110
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,111,final feasible rank 0-3,22,22,28,1188.965461,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s111/runs/demo_layout_door_left_AW_2/seed_111/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s111/runs/demo_layout_door_left_AW_2/seed_111/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s111
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,112,final feasible rank 0-3,20,20,28,1043.038583,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s112/runs/demo_layout_door_left_AW_2/seed_112/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s112/runs/demo_layout_door_left_AW_2/seed_112/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s112
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,113,final feasible rank 0-3,21,21,28,974.7041467,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s113/runs/demo_layout_door_left_AW_2/seed_113/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s113/runs/demo_layout_door_left_AW_2/seed_113/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s113
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,114,final feasible rank 0-3,15,15,28,1116.434502,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s114/runs/demo_layout_door_left_AW_2/seed_114/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s114/runs/demo_layout_door_left_AW_2/seed_114/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s114
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,115,final feasible rank 0-3,25,25,28,1008.304336,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s115/runs/demo_layout_door_left_AW_2/seed_115/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s115/runs/demo_layout_door_left_AW_2/seed_115/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s115
phase11,proposed_nsga2_bs,phase11,proposed_nsga2_bs,p11/nsga2,demo_layout_door_left_AW_2,116,final feasible rank 0-3,11,11,28,979.9472457,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s116/runs/demo_layout_door_left_AW_2/seed_116/final_ranked_layouts_index.json,results/revision_final_30seed_nofg/p11/nsga2/p11__nsga2__DEMO_L_AW2__s116/runs/demo_layout_door_left_AW_2/seed_116/run_metadata.json,results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__DEMO_L_AW2__s116
