comparison_group,instance,method_or_variant,seed,hypervolume,igd_plus,osd,nondominated_solution_count,archive_size_rank_0_3,unique_layout_signature_count_rank_0_3,runtime_seconds,reference_front_size,normalization_scope,archive_scope,hv_reference_point
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,122,1.2220011098779138,0.0333528931448821,0.0,1,19,19,1129.41555,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,123,1.2402500000000003,0.0375,0.0,1,16,16,1092.272302,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,124,1.2220011098779138,0.0333528931448821,0.0,1,18,18,964.4566384,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,125,0.6505160932297449,0.381794179811947,0.4176956395468055,3,25,25,1146.498567,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,126,0.6864445061043287,0.381794179811947,0.31221406638195554,4,26,26,1148.09955,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,127,0.6505160932297449,0.381794179811947,0.4176956395468055,3,14,14,1202.02555,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,128,1.2220011098779138,0.0333528931448821,0.0,1,22,22,1102.021434,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,129,1.2402500000000003,0.0375,0.0,1,18,18,1084.872176,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,proposed_nsga2_bs,130,1.3235682574916763,0.0,0.1003726154114542,2,19,19,1134.986732,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,bs_only_direct,101,0.4074506104328525,0.6465915982003005,0.4251075567617231,2,5,5,116.6967147,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,bs_only_direct,102,0.4074506104328525,0.6465915982003005,0.4251075567617231,2,5,5,117.1976966,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,bs_only_direct,103,0.4074506104328525,0.6465915982003005,0.4251075567617231,2,5,5,112.6170603,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,bs_only_direct,104,0.4074506104328525,0.6465915982003005,0.4251075567617231,2,5,5,112.1575846,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase11,demo_layout_door_left_AW_2,bs_only_direct,105,0.4074506104328525,0.6465915982003005,0.4251075567617231,2,5,5,113.4652916,2,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
