comparison_group,instance,method_or_variant,seed,seed_archive_signature_count,seed_exclusive_signature_count,seed_rediscovered_signature_count,seed_rediscovered_signature_ratio,definition
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,120,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,121,24,1,23,0.9583333333333334,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,122,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,123,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,124,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,125,19,0,19,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,126,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,127,28,3,25,0.8928571428571429,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,128,24,0,24,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,129,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,proposed_nsga2_bs,130,26,0,26,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,101,17,0,17,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,102,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,103,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,104,19,0,19,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,105,17,0,17,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,106,23,7,16,0.6956521739130435,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,107,26,0,26,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,108,18,0,18,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,109,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,110,18,0,18,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,111,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,112,21,0,21,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,113,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,114,17,0,17,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,115,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,116,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,117,19,0,19,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,118,25,0,25,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,119,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,120,23,0,23,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,121,23,0,23,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,122,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,123,26,0,26,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,124,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,125,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,126,20,0,20,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,127,19,0,19,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,128,21,1,20,0.9523809523809523,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,129,18,0,18,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Wide_AW_5,proposed_nsga2_bs,130,22,0,22,1.0,order-invariant within method and instance across seeds 101-130
phase11,AT_S_comercial_layout_AW_3,bs_only_direct,101,7,0,7,1.0,order-invariant within method and instance across seeds 101-130
