phase,method_or_variant,method_label,instance,instance_label,seed,index,hypervolume,carried_forward
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,123,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,124,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,125,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,126,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,127,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,128,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,129,0,0.08211876978742659,False
phase11,bs_only_direct,BS-only,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,130,0,0.08211876978742659,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,0,1.0104084410497458,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,1,1.0104084410497458,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,2,1.0104084410497458,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,3,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,4,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,5,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,6,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,7,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,8,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,9,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,10,1.175019291030161,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,101,11,1.175019291030161,False
