phase,method_or_variant,method_label,instance,instance_label,index,n,hv_mean,hv_std,hv_median,hv_q25,hv_q75,hv_min,hv_max,n_carried_forward
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,15,30,0.4461739940047166,0.0,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,16,30,0.4461739940047166,0.0,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.4461739940047166,0
phase12b,V1_fixed_sorting,V1 fixed sorting,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,17,30,0.4461739940047166,0.0,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.4461739940047166,0.4461739940047166,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,0,30,0.8373024186307522,0.14526283477601654,0.8680412457912461,0.7604538720538723,0.9656679292929294,0.47226936026936045,1.0283207070707074,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,1,30,0.9019407519640854,0.1406032471286623,0.9537146464646467,0.8644123737373739,0.9893549663299666,0.5478042087542089,1.1258930976430979,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,2,30,0.9429072615039285,0.1240958384754734,0.9715466329966334,0.8851860269360272,1.006568602693603,0.5717856902356904,1.1312466329966333,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,3,30,0.9613590909090914,0.12224223841744253,0.9893314814814818,0.8947622053872057,1.0214058080808086,0.5717856902356904,1.1312466329966333,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,4,30,0.9757879854096525,0.1170606467597663,0.9893471380471384,0.912195496632997,1.0219880471380476,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,5,30,0.9815295791245795,0.1122757162448423,1.0004739057239058,0.912195496632997,1.0260355218855222,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,6,30,0.9848797025813696,0.10705175028210617,1.0004739057239058,0.912195496632997,1.0260355218855222,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,7,30,0.9848797025813696,0.10705175028210617,1.0004739057239058,0.912195496632997,1.0260355218855222,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,8,30,0.9877729910213248,0.10517963190362895,1.0004739057239058,0.9252066077441081,1.0260355218855222,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,9,30,0.9886605667789005,0.10558986681502566,1.0004739057239058,0.9252066077441081,1.04330765993266,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,10,30,0.9947749887766558,0.10764768654289374,1.0004739057239058,0.9533107744107747,1.04330765993266,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,11,30,0.9984199382716052,0.11132214000657885,1.0004739057239058,0.9533107744107747,1.0556447811447813,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,12,30,0.9984199382716052,0.11132214000657885,1.0004739057239058,0.9533107744107747,1.0556447811447813,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,13,30,0.9984199382716052,0.11132214000657885,1.0004739057239058,0.9533107744107747,1.0556447811447813,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,AT_S_comercial_layout_AW_3,Atefeh,14,30,0.9984199382716052,0.11132214000657885,1.0004739057239058,0.9533107744107747,1.0556447811447813,0.6442200336700339,1.203738215488216,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,0,30,0.6396874602113574,0.33828939684171055,0.4829202396867839,0.39965652869349333,1.0081081891254529,0.19737625801308675,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,1,30,0.7473111534139348,0.2852530788667828,1.0081081891254529,0.45482635267545757,1.0081081891254529,0.3504790974690273,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,2,30,0.7515133759037212,0.2799540230018221,1.0081081891254529,0.45482635267545757,1.0081081891254529,0.4103793698309365,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,3,30,0.7741258106503471,0.27354189854710537,1.0081081891254529,0.478685637372538,1.0081081891254529,0.4103793698309365,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,4,30,0.7906192908487507,0.27218708793451646,1.0081081891254529,0.478685637372538,1.0081081891254529,0.4103793698309365,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,5,30,0.7912162242861572,0.2714099817574462,1.0081081891254529,0.478685637372538,1.0081081891254529,0.4103793698309365,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,6,30,0.7912162242861572,0.2714099817574462,1.0081081891254529,0.478685637372538,1.0081081891254529,0.4103793698309365,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,7,30,0.7912162242861572,0.2714099817574462,1.0081081891254529,0.478685637372538,1.0081081891254529,0.4103793698309365,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,8,30,0.7933074316188926,0.2687715875460124,1.0081081891254529,0.4953957800511509,1.0081081891254529,0.4103793698309365,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,9,30,0.794501298493706,0.2672413668210648,1.0081081891254529,0.4972115511965656,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,10,30,0.7959955723890347,0.265240921383942,1.0081081891254529,0.4972115511965656,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,11,30,0.7959955723890347,0.265240921383942,1.0081081891254529,0.4972115511965656,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,12,30,0.8109947786921093,0.2640463022584659,1.0081081891254529,0.4972115511965656,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,13,30,0.8109947786921093,0.2640463022584659,1.0081081891254529,0.4972115511965656,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,14,30,0.8109947786921093,0.2640463022584659,1.0081081891254529,0.4972115511965656,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,15,30,0.8109947786921093,0.2640463022584659,1.0081081891254529,0.4972115511965656,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,16,30,0.8109947786921093,0.2640463022584659,1.0081081891254529,0.4972115511965656,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V2_fixed_weights,V2 fixed weights,Gyorgy-KOVACS_WH_Narrow_AW_4,Kov-1-O-w4,17,30,0.8109947786921093,0.2640463022584659,1.0081081891254529,0.4972115511965656,1.0081081891254529,0.42828737295313396,1.0081081891254529,0
phase12b,V3_uniform_mutation,V3 uniform mutation,AT_S_comercial_layout_AW_3,Atefeh,0,30,0.880818080808081,0.15486314784590519,0.8965812289562293,0.7977723484848487,0.9845711279461282,0.47226936026936045,1.1258930976430979,0
