phase,method_or_variant,instance,seed,generation_objectives_csv,row_count
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,122,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s122\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_122\generation_objectives.csv,38
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,123,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s123\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_123\generation_objectives.csv,55
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,124,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s124\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_124\generation_objectives.csv,54
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,125,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s125\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_125\generation_objectives.csv,50
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,126,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s126\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_126\generation_objectives.csv,42
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,127,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s127\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_127\generation_objectives.csv,75
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,128,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s128\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_128\generation_objectives.csv,69
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,129,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s129\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_129\generation_objectives.csv,83
phase11,proposed_nsga2_bs,Gyorgy-KOVACS_WH_Narrow_AW_4,130,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__KOV_WH_N_AW4__s130\runs\Gyorgy-KOVACS_WH_Narrow_AW_4\seed_130\generation_objectives.csv,43
phase11,bs_only_direct,AT_S_comercial_layout_AW_3,101,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\bsonly\p11__bsonly__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\generation_objectives.csv,4
