regime,lambda_case_id,lambda_depth,lambda_level,selection_label,workload_seed_id,rng_seed,orders_count,order_lines_count,mean_order_lambda_access_effort_sum,mean_order_lambda_access_effort_mean,mean_line_lambda_access_effort,seed_status,seed_warning
A,A2_lower_level_penalty,1,0.5,L4,19,20260636,1000,3037,0.531927922078,0.1694625,0.175149134698,ok,
A,A2_lower_level_penalty,1,0.5,L4,20,20260637,1000,3018,0.528587012987,0.16664961039,0.175144802183,ok,
A,A2_lower_level_penalty,1,0.5,L4,21,20260638,1000,2998,0.517188961039,0.174256893939,0.172511327898,ok,
A,A2_lower_level_penalty,1,0.5,L4,22,20260639,1000,2974,0.512924675325,0.166087619048,0.172469628556,ok,
A,A2_lower_level_penalty,1,0.5,L4,23,20260640,1000,3106,0.550616883117,0.178574621212,0.177275236033,ok,
A,A2_lower_level_penalty,1,0.5,L4,24,20260641,1000,3096,0.55568961039,0.182717164502,0.179486308265,ok,
A,A2_lower_level_penalty,1,0.5,L4,25,20260642,1000,2954,0.509872077922,0.168318874459,0.172603953257,ok,
A,A2_lower_level_penalty,1,0.5,L4,26,20260643,1000,3002,0.539940909091,0.174362077922,0.1798603961,ok,
A,A2_lower_level_penalty,1,0.5,L4,27,20260644,1000,2996,0.540153896104,0.18289254329,0.180291687618,ok,
A,A2_lower_level_penalty,1,0.5,L4,28,20260645,1000,2993,0.501624675325,0.165453051948,0.167599290119,ok,
A,A2_lower_level_penalty,1,0.5,L4,29,20260646,1000,2966,0.491118181818,0.164089339827,0.165582664133,ok,
A,A2_lower_level_penalty,1,0.5,L4,30,20260647,1000,2986,0.49180974026,0.16086987013,0.164705204374,ok,
A,A1_baseline,1,1,L1,1,20260618,1000,3046,0.59387987013,0.19262034632,0.194970410417,ok,
A,A1_baseline,1,1,L1,2,20260619,1000,3031,0.656049350649,0.212172510823,0.216446503019,ok,
A,A1_baseline,1,1,L1,3,20260620,1000,2988,0.616737012987,0.204455541126,0.20640462282,ok,
A,A1_baseline,1,1,L1,4,20260621,1000,3085,0.6055,0.195921753247,0.196272285251,ok,
A,A1_baseline,1,1,L1,5,20260622,1000,3039,0.604403896104,0.200237056277,0.19888249296,ok,
A,A1_baseline,1,1,L1,6,20260623,1000,3009,0.610341558442,0.197703885281,0.202838670137,ok,
A,A1_baseline,1,1,L1,7,20260624,1000,2998,0.601834415584,0.199311179654,0.200745302063,ok,
A,A1_baseline,1,1,L1,8,20260625,1000,2990,0.614895454545,0.209984274892,0.205650653694,ok,
