instance,rank,layout_signature,storage_capacity,pick_faces,interior_storage,retrieval_penalty,door_connectivity_index,occurrence_count,seed_count,first_seed,last_seed,candidate_id,archive_key,source_generation,source,archive_index_path,archive_npz_path
AT_S_comercial_layout_AW_3,2,eb8f48412bdb7f859e1436bf5df1bc394e65b1cc,228,105,123,119.0,1.0,11,11,105,124,8,final_rank_02_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s105\runs\AT_S_comercial_layout_AW_3\seed_105\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,ff831007d2cb19c27f4223a274bf22a7edbbf53e,228,98,130,126.0,1.0,30,30,101,130,6,final_rank_02_layout_005,6,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,0a75f2b327085dc5778e0a33aad21dbd318e0a85,225,115,110,149.0,1.0,30,30,101,130,20,final_rank_02_layout_004,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,ae825089721f98e0d9805014401719023ff6a664,225,115,110,149.0,1.0,30,30,101,130,19,final_rank_02_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,d62a3d8b262eab712ad0095915c7ec743e47da91,207,104,103,176.0,1.0,4,4,106,117,10,final_rank_02_layout_005,2,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s106\runs\AT_S_comercial_layout_AW_3\seed_106\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,f03482f4c3e8943fd1d8a7356a54c2341286baac,207,104,103,176.0,1.0,25,25,101,130,12,final_rank_02_layout_001,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,faf111ea2d7b61d8d8cfd2201424f26ba114409d,264,120,144,220.0,1.0,10,10,106,130,20,final_rank_02_layout_005,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s112\runs\AT_S_comercial_layout_AW_3\seed_112\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,527782c0f63e2d23e929468edf419ace24e96a7b,249,123,126,228.0,1.0,2,2,106,108,10,final_rank_02_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s106\runs\AT_S_comercial_layout_AW_3\seed_106\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,d2594743c127de8784a3f78c820ad2d01666feb8,207,104,103,267.0,1.0,12,12,101,130,20,final_rank_02_layout_003,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s121\runs\AT_S_comercial_layout_AW_3\seed_121\final_ranked_layouts_index.json,
AT_S_comercial_layout_AW_3,2,dfba6e6310ef2f9b0ce287fae7ed9faac7db102b,207,104,103,267.0,1.0,12,12,101,130,21,final_rank_02_layout_004,0,,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\results\revision_final_30seed_nofg\p11\nsga2\p11__nsga2__AT_S_AW3__s121\runs\AT_S_comercial_layout_AW_3\seed_121\final_ranked_layouts_index.json,
