selection_label,selection_type,layout_signature,seed,rank,candidate_id,layout_id,archive_key,row,col,level,block_id,block_size,access_type,access_side_count,access_sides,effective_access_side,effective_pick_face_row,effective_pick_face_col,effective_depth,horizontal_access_distance,vertical_level,normalized_distance,normalized_depth,normalized_level,slot_cost,storage_cells_layout,pick_faces_layout,interior_deep_storage_share_layout,retrieval_penalty_layout,mean_depth_layout,max_depth_layout,largest_block_size_layout,pallet_slot_capacity_layout,slot_metric_status,slot_metric_warning
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,24,2,2,64,two_sided,2,"E,W",E,1,26,3,48,2,0.872727273,0.5,0.285714286,1.658441558,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,24,3,2,64,two_sided,2,"E,W",E,1,26,3,48,3,0.872727273,0.5,0.428571429,1.801298701,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,24,4,2,64,two_sided,2,"E,W",E,1,26,3,48,4,0.872727273,0.5,0.571428571,1.944155844,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,24,5,2,64,two_sided,2,"E,W",E,1,26,3,48,5,0.872727273,0.5,0.714285714,2.087012987,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,24,6,2,64,two_sided,2,"E,W",E,1,26,3,48,6,0.872727273,0.5,0.857142857,2.22987013,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,24,7,2,64,two_sided,2,"E,W",E,1,26,3,48,7,0.872727273,0.5,1,2.372727273,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,25,0,2,64,two_sided,2,"E,W",E,1,26,2,48,0,0.872727273,0.25,0,1.122727273,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,25,1,2,64,two_sided,2,"E,W",E,1,26,2,48,1,0.872727273,0.25,0.142857143,1.265584416,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,25,2,2,64,two_sided,2,"E,W",E,1,26,2,48,2,0.872727273,0.25,0.285714286,1.408441558,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,25,3,2,64,two_sided,2,"E,W",E,1,26,2,48,3,0.872727273,0.25,0.428571429,1.551298701,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,25,4,2,64,two_sided,2,"E,W",E,1,26,2,48,4,0.872727273,0.25,0.571428571,1.694155844,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,25,5,2,64,two_sided,2,"E,W",E,1,26,2,48,5,0.872727273,0.25,0.714285714,1.837012987,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,25,6,2,64,two_sided,2,"E,W",E,1,26,2,48,6,0.872727273,0.25,0.857142857,1.97987013,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,25,7,2,64,two_sided,2,"E,W",E,1,26,2,48,7,0.872727273,0.25,1,2.122727273,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,26,0,2,64,two_sided,2,"E,W",E,1,26,1,48,0,0.872727273,0,0,0.872727273,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,26,1,2,64,two_sided,2,"E,W",E,1,26,1,48,1,0.872727273,0,0.142857143,1.015584416,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,26,2,2,64,two_sided,2,"E,W",E,1,26,1,48,2,0.872727273,0,0.285714286,1.158441558,560,270,0.517857143,341,1.8375,5,119,4480,ok,
L1,accessibility-oriented,1fa9344c00a95c630e382533991ef575b2f5e6b5,101,0,1,final_rank_00_layout_001,final_rank_00_layout_001,1,26,3,2,64,two_sided,2,"E,W",E,1,26,1,48,3,0.872727273,0,0.428571429,1.301298701,560,270,0.517857143,341,1.8375,5,119,4480,ok,
